count_point_id,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles
990145,6,London,105,Greenwich,B210,Minor,,,541590,177870,51.48206951,0.03769773,,
990144,6,London,201,Havering,B175,Minor,,,550680,190380,51.59212675,0.17385754,,
990143,6,London,176,Bromley,B228,Minor,,,539800,168150,51.39516936,0.00810224,,
990142,6,London,176,Bromley,B258,Minor,,,547480,167980,51.39169956,0.11834455,,
990141,6,London,110,"Kensington and Chelsea",B304,Minor,,,526978,178640,51.49245610,-0.17233564,,
990140,6,London,109,Westminster,B507,Minor,,,527207,182194,51.52434465,-0.16775724,,
990139,6,London,145,Camden,B511,Minor,,,526610,184830,51.54816852,-0.17541046,,
990138,6,London,57,Barnet,B552,Minor,,,523990,190330,51.59817914,-0.21123620,,
990137,6,London,66,Hillingdon,B465,Minor,,,508060,181570,51.52271992,-0.44382653,,
990044,6,London,201,Havering,U,Minor,,,551815,188247,51.57265745,0.18930799,,
990029,6,London,106,Bexley,B252,Minor,,,551450,178020,51.48086507,0.17965179,,
990028,6,London,66,Hillingdon,U,Minor,,,507500,182400,51.53028684,-0.45164213,,
990027,6,London,121,Enfield,U,Minor,,,537040,198465,51.66825733,-0.01975721,,
980006,6,London,106,Bexley,U,Minor,,,548360,176690,51.46973300,0.13462906,,
967554,6,London,176,Bromley,U,Minor,,,538180,169660,51.40913475,-0.01458048,,
965631,6,London,57,Barnet,U,Minor,,,523100,195000,51.64034297,-0.22244067,,
961008,6,London,66,Hillingdon,U,Minor,,,509050,192080,51.61699574,-0.42630293,,
956887,6,London,124,Redbridge,U,Minor,,,548308,192000,51.60731112,0.14032543,,
956871,6,London,124,Redbridge,U,Minor,,,543790,185850,51.55322037,0.07261198,,
953313,6,London,201,Havering,U,Minor,,,554573,191957,51.60524122,0.23070413,,
953312,6,London,201,Havering,U,Minor,,,554202,190745,51.59445350,0.22481910,,
953311,6,London,201,Havering,C,Minor,,,554300,182880,51.52376205,0.22278664,,
953308,6,London,201,Havering,C,Minor,,,553392,190678,51.59407262,0.21310575,,
953293,6,London,168,"Barking and Dagenham",U,Minor,,,548586,184348,51.53848302,0.14110384,,
953289,6,London,176,Bromley,U,Minor,,,547727,168208,51.39368397,0.12198674,,
953284,6,London,105,Greenwich,U,Minor,,,544503,179130,51.49265514,0.08013541,,
953280,6,London,176,Bromley,U,Minor,,,544675,166695,51.38087518,0.07753397,,
953275,6,London,167,Newham,U,Minor,,,542498,184354,51.54010522,0.05338432,,
953271,6,London,176,Bromley,U,Minor,,,542210,158973,51.31210674,0.03905704,,
953270,6,London,105,Greenwich,U,Minor,,,541226,174497,51.45185097,0.03111294,,
953266,6,London,124,Redbridge,U,Minor,,,540510,188880,51.58127302,0.02654470,,
953264,6,London,104,Lewisham,U,Minor,,,540650,172735,51.43616072,0.02212952,,
953262,6,London,124,Redbridge,U,Minor,,,539900,190280,51.59400457,0.01830394,,
953260,6,London,104,Lewisham,C,Minor,,,539262,172240,51.43205493,0.00197934,,
953255,6,London,104,Lewisham,U,Minor,,,538677,173788,51.44610886,-0.00582509,,
953236,6,London,103,Southwark,U,Minor,,,534733,178577,51.49009681,-0.06071923,,
953223,6,London,122,Hackney,U,Minor,,,534150,184360,51.54220353,-0.06691148,,
953219,6,London,121,Enfield,U,Minor,,,531500,193830,51.62792907,-0.10155939,,
953217,6,London,107,Lambeth,U,Minor,,,531202,177190,51.47846193,-0.11206383,,
953214,6,London,134,Croydon,U,Minor,,,531255,160470,51.32818936,-0.11748090,,
953208,6,London,165,Haringey,U,Minor,,,530166,189479,51.58913908,-0.12243466,,
953198,6,London,57,Barnet,U,Minor,,,528724,193939,51.62955013,-0.14160149,,
953195,6,London,165,Haringey,U,Minor,,,528615,187882,51.57514320,-0.14539475,,
953192,6,London,108,Wandsworth,U,Minor,,,528346,175841,51.46699310,-0.15365677,,
953184,6,London,204,Merton,U,Minor,,,527645,168589,51.40197633,-0.16635416,,
953171,6,London,118,Brent,U,Minor,,,524175,184605,51.54668696,-0.21058906,,
953170,6,London,145,Camden,U,Minor,,,524940,184500,51.54557462,-0.19959964,,
953155,6,London,118,Brent,U,Minor,,,521168,184552,51.54686346,-0.25395157,,
953146,6,London,147,Ealing,U,Minor,,,520329,179599,51.50252765,-0.26773633,,
953145,6,London,111,Hounslow,U,Minor,,,520156,178416,51.49193213,-0.27063025,,
953132,6,London,118,Brent,U,Minor,,,518733,188768,51.58527127,-0.28762825,,
953110,6,London,185,Harrow,U,Minor,,,512887,187437,51.57450845,-0.37239881,,
953102,6,London,147,Ealing,U,Minor,,,511855,179384,51.50233383,-0.38984131,,
953083,6,London,111,Hounslow,C,Minor,,,508000,173862,51.45344922,-0.44704556,,
951769,6,London,108,Wandsworth,U,Minor,,,522287,173874,51.45065464,-0.24151974,,
951768,6,London,108,Wandsworth,U,Minor,,,521581,175315,51.46375756,-0.25118021,,
951767,6,London,125,"Waltham Forest",U,Minor,,,539227,194815,51.63492158,0.01039453,,
951766,6,London,125,"Waltham Forest",U,Minor,,,536922,189388,51.58672072,-0.02500743,,
951764,6,London,125,"Waltham Forest",C,Minor,,,539503,187463,51.56879050,0.01145938,,
951763,6,London,125,"Waltham Forest",C,Minor,,,536537,189656,51.58922221,-0.03045738,,
951761,6,London,93,"Tower Hamlets",U,Minor,,,537328,179645,51.49907012,-0.02294946,,
951760,6,London,93,"Tower Hamlets",C,Minor,,,537673,182842,51.52771545,-0.01673411,,
951759,6,London,93,"Tower Hamlets",C,Minor,,,535068,180631,51.50847498,-0.05511082,,
951758,6,London,93,"Tower Hamlets",B119,Minor,,,535119,182756,51.52755854,-0.05356190,,
951757,6,London,93,"Tower Hamlets",B121,Minor,,,536054,181290,51.51416060,-0.04065754,,
951756,6,London,177,Sutton,U,Minor,,,525202,165648,51.37608887,-0.20249229,,
951755,6,London,177,Sutton,U,Minor,,,526627,166089,51.37973654,-0.18187200,,
951754,6,London,177,Sutton,U,Minor,,,530022,163594,51.35654789,-0.13402853,,
951753,6,London,177,Sutton,U,Minor,,,525569,162548,51.34814730,-0.19831552,,
951752,6,London,177,Sutton,U,Minor,,,525476,164167,51.36271834,-0.19907971,,
951751,6,London,177,Sutton,B272,Minor,,,530114,165198,51.37094194,-0.13212163,,
951748,6,London,178,"Kingston upon Thames",C,Minor,,,519976,167745,51.39606338,-0.27683511,,
951747,6,London,175,"Richmond upon Thames",U,Minor,,,514513,173155,51.44581633,-0.35357967,,
951746,6,London,175,"Richmond upon Thames",B358,Minor,,,514995,171977,51.43513117,-0.34702924,,
951745,6,London,167,Newham,U,Minor,,,540344,182013,51.51960887,0.02141417,,
951744,6,London,204,Merton,U,Minor,,,526270,167226,51.39003438,-0.18659517,,
951743,6,London,204,Merton,C,Minor,,,526375,169562,51.41100510,-0.18425577,,
951742,6,London,104,Lewisham,U,Minor,,,537697,174373,51.45160459,-0.01969077,,
951740,6,London,104,Lewisham,B207,Minor,,,536259,177307,51.47831848,-0.03924269,,
951738,6,London,185,Harrow,U,Minor,,,513683,191605,51.61181056,-0.35956752,,
951737,6,London,185,Harrow,U,Minor,,,516880,190498,51.60120674,-0.31378572,,
951736,6,London,185,Harrow,U,Minor,,,512322,187237,51.57282364,-0.38061241,,
951735,6,London,185,Harrow,U,Minor,,,515915,192113,51.61592141,-0.32717904,,
951734,6,London,185,Harrow,C,Minor,,,513944,189144,51.58963842,-0.35659888,,
951733,6,London,122,Hackney,U,Minor,,,535714,184414,51.54231518,-0.04435127,,
951732,6,London,122,Hackney,U,Minor,,,534062,186779,51.56396251,-0.06725936,,
951731,6,London,147,Ealing,U,Minor,,,512473,182525,51.53044238,-0.37993961,,
951730,6,London,147,Ealing,U,Minor,,,512860,180324,51.51058283,-0.37506718,,
951729,6,London,147,Ealing,U,Minor,,,519876,181589,51.52050900,-0.27358356,,
951727,6,London,147,Ealing,B455,Minor,,,517076,181652,51.52166159,-0.31390071,,
951726,6,London,134,Croydon,U,Minor,,,534445,167242,51.38830259,-0.06916569,,
951725,6,London,134,Croydon,U,Minor,,,533596,158979,51.31424545,-0.08445817,,
951724,6,London,134,Croydon,U,Minor,,,532011,166976,51.38648322,-0.10422483,,
951723,6,London,134,Croydon,U,Minor,,,531075,170478,51.41817171,-0.11637495,,
951722,6,London,134,Croydon,U,Minor,,,535484,159819,51.32134828,-0.05706605,,
951721,6,London,134,Croydon,B243,Minor,,,533602,166576,51.38251671,-0.08152428,,
951720,6,London,106,Bexley,U,Minor,,,548560,176754,51.47025563,0.13753326,,
951719,6,London,57,Barnet,U,Minor,,,526569,187888,51.57565966,-0.17490162,,
951718,6,London,111,Hounslow,U,Minor,,,516272,175970,51.47075866,-0.32735486,,
951715,6,London,111,Hounslow,C,Minor,,,514931,175378,51.46571147,-0.34684568,,
951713,6,London,111,Hounslow,B361,Minor,,,513853,174678,51.45963770,-0.36258300,,
951712,6,London,111,Hounslow,B455,Minor,,,518173,177685,51.48577942,-0.29942488,,
951711,6,London,165,Haringey,B138,Minor,,,530934,189900,51.59274447,-0.11119837,,
951710,6,London,105,Greenwich,U,Minor,,,539529,178800,51.49093825,0.00840415,,
951709,6,London,105,Greenwich,U,Minor,,,543555,177929,51.48210463,0.06600123,,
951707,6,London,105,Greenwich,U,Minor,,,545102,179156,51.49273547,0.08876845,,
951706,6,London,109,Westminster,U,Minor,,,527091,181203,51.51546458,-0.16978569,,
951705,6,London,109,Westminster,B414,Minor,,,525102,182479,51.52737573,-0.19798255,,
951704,6,London,145,Camden,U,Minor,,,528657,186240,51.56037749,-0.14538951,,
951703,6,London,145,Camden,U,Minor,,,525830,185148,51.55120069,-0.18654000,,
951702,6,London,145,Camden,U,Minor,,,530618,181463,51.51699752,-0.11888800,,
951701,6,London,145,Camden,B519,Minor,,,526422,186757,51.56552845,-0.17742830,,
951700,6,London,176,Bromley,U,Minor,,,540734,171342,51.42362213,0.02278426,,
951699,6,London,176,Bromley,U,Minor,,,537225,167945,51.39395474,-0.02896565,,
951698,6,London,176,Bromley,U,Minor,,,541074,169064,51.40306755,0.02676484,,
951697,6,London,176,Bromley,U,Minor,,,541040,165548,51.37148214,0.02488292,,
951696,6,London,176,Bromley,C,Minor,,,536623,170276,51.41504712,-0.03671617,,
951694,6,London,176,Bromley,C,Minor,,,535633,169296,51.40647777,-0.05131800,,
951693,6,London,118,Brent,U,Minor,,,521892,186157,51.56113261,-0.24295912,,
951692,6,London,118,Brent,U,Minor,,,521779,183302,51.53549795,-0.24557650,,
951691,6,London,118,Brent,C,Minor,,,523315,184483,51.54577891,-0.22302794,,
951690,6,London,118,Brent,C,Minor,,,522495,185028,51.55085542,-0.23465768,,
951689,6,London,118,Brent,B4557,Minor,,,519949,185519,51.55581434,-0.27119359,,
951688,6,London,118,Brent,B453,Minor,,,521417,185550,51.55577947,-0.25001784,,
950372,6,London,204,Merton,B278,Minor,,,525336,167325,51.39113101,-0.19997700,,
948102,6,London,124,Redbridge,C,Minor,,,542500,188000,51.57286645,0.05488890,,
948101,6,London,109,Westminster,U,Minor,,,529465,179477,51.49941471,-0.13622476,,
948098,6,London,109,Westminster,U,Minor,,,528500,180000,51.50433487,-0.14992902,,
948090,6,London,93,"Tower Hamlets",U,Minor,,,536660,182900,51.52848226,-0.03130546,,
948086,6,London,103,Southwark,U,Minor,,,533500,174000,51.44925718,-0.08019563,,
948075,6,London,204,Merton,U,Minor,,,526000,167500,51.39255684,-0.19037652,,
948063,6,London,110,"Kensington and Chelsea",U,Minor,,,525500,179500,51.50051475,-0.19330839,,
948052,6,London,201,Havering,U,Minor,,,556000,186000,51.55132741,0.24865210,,
948049,6,London,185,Harrow,U,Minor,,,514100,190500,51.60179455,-0.35390721,,
948043,6,London,122,Hackney,U,Minor,,,536500,185500,51.55188502,-0.03260301,,
948041,6,London,105,Greenwich,U,Minor,,,545000,178000,51.48237433,0.08682564,,
948027,6,London,134,Croydon,U,Minor,,,530000,161000,51.33324017,-0.13529046,,
948024,6,London,118,Brent,U,Minor,,,525100,183450,51.53610270,-0.19766654,,
948023,6,London,145,Camden,U,Minor,,,529500,183000,51.53106748,-0.13442703,,
948016,6,London,176,Bromley,U,Minor,,,534500,169500,51.40858083,-0.06752043,,
948011,6,London,57,Barnet,U,Minor,,,527600,194000,51.63035416,-0.15780968,,
943008,6,London,108,Wandsworth,U,Minor,,,523757,175694,51.46669282,-0.21973939,,
943006,6,London,108,Wandsworth,U,Minor,,,528483,172446,51.43645108,-0.15291682,,
943005,6,London,108,Wandsworth,U,Minor,,,528800,173808,51.44861960,-0.14786363,,
943004,6,London,108,Wandsworth,U,Minor,,,527294,176133,51.46985467,-0.16868862,,
943003,6,London,108,Wandsworth,U,Minor,,,522720,174496,51.45615133,-0.23507600,,
943002,6,London,108,Wandsworth,U,Minor,,,526322,174384,51.45435365,-0.18329943,,
943000,6,London,108,Wandsworth,U,Minor,,,528650,170806,51.42167426,-0.15111054,,
942999,6,London,108,Wandsworth,U,Minor,,,528616,171394,51.42696644,-0.15138604,,
942998,6,London,108,Wandsworth,U,Minor,,,528219,175964,51.46812725,-0.15543957,,
942997,6,London,108,Wandsworth,U,Minor,,,528182,175861,51.46720997,-0.15600925,,
942996,6,London,108,Wandsworth,U,Minor,,,526714,173401,51.44543173,-0.17801221,,
942995,6,London,108,Wandsworth,U,Minor,,,526087,175053,51.46041844,-0.18644166,,
942994,6,London,108,Wandsworth,U,Minor,,,524509,174097,51.45217527,-0.20948051,,
942993,6,London,108,Wandsworth,C,Minor,,,526543,172100,51.43377745,-0.18093609,,
942992,6,London,108,Wandsworth,C,Minor,,,525926,175003,51.46000487,-0.18877573,,
942991,6,London,108,Wandsworth,C,Minor,,,529398,171277,51.42573726,-0.14018681,,
942990,6,London,108,Wandsworth,C,Minor,,,527126,175084,51.46046499,-0.17148267,,
942989,6,London,108,Wandsworth,C,Minor,,,521559,174900,51.46003244,-0.25163922,,
942988,6,London,108,Wandsworth,C,Minor,,,521480,174332,51.45494443,-0.25297063,,
942987,6,London,108,Wandsworth,B234,Minor,,,526151,173361,51.44519772,-0.18612361,,
942986,6,London,108,Wandsworth,B306,Minor,,,524096,175659,51.46630413,-0.21487382,,
942985,6,London,108,Wandsworth,B229,Minor,,,527442,175108,51.46060970,-0.16692787,,
942984,6,London,108,Wandsworth,B241,Minor,,,528642,171533,51.42820977,-0.15096184,,
942983,6,London,108,Wandsworth,B242,Minor,,,529283,172280,51.43477751,-0.14147427,,
942982,6,London,125,"Waltham Forest",U,Minor,,,538824,194588,51.63298125,0.00448524,,
942981,6,London,125,"Waltham Forest",U,Minor,,,537937,192965,51.61861520,-0.00896132,,
942978,6,London,125,"Waltham Forest",U,Minor,,,535995,191000,51.60143004,-0.03775665,,
942977,6,London,125,"Waltham Forest",U,Minor,,,537936,193535,51.62373733,-0.00875150,,
942976,6,London,125,"Waltham Forest",U,Minor,,,537730,191982,51.60983280,-0.01233521,,
942975,6,London,125,"Waltham Forest",U,Minor,,,538667,190987,51.60066218,0.00079462,,
942972,6,London,125,"Waltham Forest",B160,Minor,,,538405,191267,51.60324262,-0.00287543,,
942970,6,London,93,"Tower Hamlets",U,Minor,,,537271,180343,51.50535646,-0.02349854,,
942969,6,London,93,"Tower Hamlets",U,Minor,,,534603,182263,51.52325161,-0.06118418,,
942967,6,London,93,"Tower Hamlets",U,Minor,,,535992,181857,51.51927075,-0.04133178,,
942966,6,London,93,"Tower Hamlets",U,Minor,,,537115,183961,51.53790648,-0.02433753,,
942964,6,London,93,"Tower Hamlets",C,Minor,,,537512,181411,51.51489537,-0.01961183,,
942963,6,London,93,"Tower Hamlets",C,Minor,,,537578,179810,51.50049207,-0.01928578,,
942962,6,London,93,"Tower Hamlets",C,Minor,,,537892,181253,51.51338299,-0.01420070,,
942961,6,London,93,"Tower Hamlets",C,Minor,,,533525,181524,51.51686653,-0.07699337,,
942960,6,London,93,"Tower Hamlets",C,Minor,,,537420,178670,51.49028610,-0.02200449,,
942959,6,London,93,"Tower Hamlets",C,Minor,,,534916,181334,51.51482867,-0.05703080,,
942958,6,London,93,"Tower Hamlets",U,Minor,,,534855,181557,51.51684718,-0.05782409,,
942957,6,London,93,"Tower Hamlets",C,Minor,,,536855,182070,51.52097668,-0.02881846,,
942956,6,London,93,"Tower Hamlets",C,Minor,,,534456,180157,51.50436131,-0.06410478,,
942955,6,London,93,"Tower Hamlets",C,Minor,,,537923,178890,51.49214060,-0.01467805,,
942952,6,London,93,"Tower Hamlets",C,Minor,,,537919,181148,51.51243283,-0.01385292,,
942951,6,London,93,"Tower Hamlets",C,Minor,,,538141,180404,51.50569270,-0.01094723,,
942950,6,London,93,"Tower Hamlets",C,Minor,,,536842,184296,51.54098297,-0.02814125,,
942948,6,London,93,"Tower Hamlets",B135,Minor,,,535011,182446,51.52479868,-0.05523663,,
942947,6,London,93,"Tower Hamlets",B126,Minor,,,534216,180878,51.51089754,-0.06728637,,
942946,6,London,93,"Tower Hamlets",B140,Minor,,,537802,182406,51.52376611,-0.01504616,,
942944,6,London,93,"Tower Hamlets",B142,Minor,,,536905,183631,51.53499191,-0.02749180,,
942943,6,London,93,"Tower Hamlets",B118,Minor,,,533790,182806,51.52832446,-0.07268979,,
942941,6,London,177,Sutton,U,Minor,,,524935,161895,51.34241821,-0.20764333,,
942940,6,London,177,Sutton,U,Minor,,,530663,165282,51.37157098,-0.12420827,,
942939,6,London,177,Sutton,U,Minor,,,528777,163233,51.35358638,-0.15202941,,
942938,6,London,177,Sutton,U,Minor,,,528145,163021,51.35182362,-0.16117668,,
